company,year,mcap_usd
Berkshire Hathaway,2011,189210000000
Berkshire Hathaway,2010,198310000000
Berkshire Hathaway,2009,153620000000
Berkshire Hathaway,2008,149560000000
Berkshire Hathaway,2007,219370000000
Berkshire Hathaway,2006,169640000000
Berkshire Hathaway,2005,136380000000
Berkshire Hathaway,2004,135300000000
Berkshire Hathaway,2003,129510000000
Berkshire Hathaway,2002,111630000000
Berkshire Hathaway,2001,115560000000
Berkshire Hathaway,2000,108250000000
Berkshire Hathaway,1999,85080000000
Berkshire Hathaway,1998,90930000000
Berkshire Hathaway,1997,56770000000
Berkshire Hathaway,1996,42000000000
